069500,KODEX 200,400
001060,JW중외제약,50
006400,삼성SDI,4
006890,태경케미컬,70
011930,신성이엔지,500
017940,E1,27
035420,NAVER,16
052690,한전기술,20
079550,LIG넥스원,12
140860,파크시스템스,8
251970,펌텍코리아,115
145020,휴젤,8
329180,HD현대중공업,8
KRW,원화예금,2993570
