001060,JW중외제약,50,22971
006400,삼성SDI,4,387640
006890,태경케미컬,70,12870
017940,E1,27,58400
031980,피에스케이홀딩스,40,27262
035420,NAVER,24,210616
069500,KODEX 200,400,31456
140860,파크시스템스,8,174300
251970,펌텍코리아,70,26300
286750,나노브릭,400,3253
-,원화예금,5938085,1
